what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1394997152143
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1394997152143
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1394997152143
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1394997152143
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1394997152143
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1394997152143
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1394997152174
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1394997152174
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1394997152174
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1394997152174
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1394997152174
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394997152174
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1394997152174
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1394997152174
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1394997152174
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1394997152174
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1394997152174
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1394997152174
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1394997152221
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1394997152221
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1394997152221
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1394997152221
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1394997152221
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394997152221
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1394997152221
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1394997152221
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1394997152236
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1394997152236
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1394997152299
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1394997152299
os,sysinfo,,,"win32",1394997152299
arch,sysinfo,,,"x86",1394997152299
ws,sysinfo,,,"win32",1394997152299
locale,sysinfo,,,"en_US",1394997152299
processors,sysinfo,,,"8",1394997152299
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394997152299
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1394997152299
java.specification.name,sysinfo,,,"Java Platform API Specification",1394997152299
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394997152299
java.specification.version,sysinfo,,,"1.7",1394997152299
java.vendor,sysinfo,,,"Oracle Corporation",1394997152299
java.version,sysinfo,,,"1.7.0_45",1394997152299
java.vm.info,sysinfo,,,"mixed mode, sharing",1394997152299
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394997152299
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394997152299
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394997152299
java.vm.specification.version,sysinfo,,,"1.7",1394997152299
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394997152299
java.vm.version,sysinfo,,,"24.45-b08",1394997152299
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1394997152563
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1394997153373
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1394997153653
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1394997153965
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394997154260
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394997154385
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1394997154541
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1394997155475
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1394997155506
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1394997155522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997155553
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1394997155568
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1394997156689
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1394997157141
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1394997158355
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1394997158838
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1394997159071
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1394997159087
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1394997159118
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1394997159165
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1394997159445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997159507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997160099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997756641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997759542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997759932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997760899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997859216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997869253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997873361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997874099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997883461
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1394997909479
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1394997909520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1394997910840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997915520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997915631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997924846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997941389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997968837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394997976560
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1394998064331
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1394998064659
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1394998135623
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1394998135685
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1394998135701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1394998136309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1394998137214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1394998165434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394998256646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394998285809
